pageUrl,viewport,run,status,totalRequests,totalTransferredBytes,totalTransferred,documentBytes,imageBytes,jsBytes,cssBytes,fontBytes,audioVideoBytes,fetchXhrBytes,largestRequestUrl,largestRequestBytes,largestTop20,autoAudioRequests,spriteSheetRequests,r2Requests,repeatedApiCalls,errorRequests,imageRequestCount,tarotAlbumImageCount,jsRequestCount,fetchXhrRequestCount,suspectedCause,priority,measuredAt
/life-book-ai,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/life-book-ai/,321,321 B http://localhost:3100/life-book-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/life-book-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:30:28.365Z
/life-book-ai,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/life-book-ai/,321,321 B http://localhost:3100/life-book-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/life-book-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:30:33.766Z
/love-secret-ai,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/love-secret-ai/,321,321 B http://localhost:3100/love-secret-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/love-secret-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:30:41.379Z
/love-secret-ai,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/love-secret-ai/,321,321 B http://localhost:3100/love-secret-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/love-secret-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:30:43.658Z
/karma-destiny-ai,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/karma-destiny-ai/,321,321 B http://localhost:3100/karma-destiny-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/karma-destiny-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:30:50.197Z
/karma-destiny-ai,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/karma-destiny-ai/,321,321 B http://localhost:3100/karma-destiny-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/karma-destiny-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:30:57.118Z
/ziwei-ai,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/ziwei-ai/,321,321 B http://localhost:3100/ziwei-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/ziwei-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:31:03.396Z
/ziwei-ai,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/ziwei-ai/,321,321 B http://localhost:3100/ziwei-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/ziwei-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:31:05.395Z
/astrology-ai,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/astrology-ai/,321,321 B http://localhost:3100/astrology-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/astrology-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:31:15.834Z
/astrology-ai,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/astrology-ai/,321,321 B http://localhost:3100/astrology-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/astrology-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:31:24.082Z
/vedic-ai,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/vedic-ai/,321,321 B http://localhost:3100/vedic-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/vedic-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:31:35.189Z
/vedic-ai,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/vedic-ai/,321,321 B http://localhost:3100/vedic-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/vedic-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:31:45.314Z
/sukuyo-compatibility-ai,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/sukuyo-compatibility-ai/,321,321 B http://localhost:3100/sukuyo-compatibility-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/sukuyo-compatibility-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:32:05.504Z
/sukuyo-compatibility-ai,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/sukuyo-compatibility-ai/,321,321 B http://localhost:3100/sukuyo-compatibility-ai/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/sukuyo-compatibility-ai/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:32:11.945Z
/saju/destiny-bias,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/saju/destiny-bias/,321,321 B http://localhost:3100/saju/destiny-bias/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/saju/destiny-bias/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:32:23.906Z
/saju/destiny-bias,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/saju/destiny-bias/,321,321 B http://localhost:3100/saju/destiny-bias/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/saju/destiny-bias/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:32:28.155Z
/saju/love-simulation,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/login/?returnTo=%2Fsaju%2Flove-simulation%2F&next=%2Fsaju%2Flove-simulation%2F&redirect=%2Fsaju%2Flove-simulation%2F,321,321 B http://localhost:3100/login/?returnTo=%2Fsaju%2Flove-simulation%2F&next=%2Fsaju%2Flove-simulation%2F&redirect=%2Fsaju%2Flove-simulation%2F | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/login/?returnTo=%2Fsaju%2Flove-simulation%2F&next=%2Fsaju%2Flove-simulation%2F&redirect=%2Fsaju%2Flove-simulation%2F | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:32:39.745Z
/saju/love-simulation,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/login/?returnTo=%2Fsaju%2Flove-simulation%2F&next=%2Fsaju%2Flove-simulation%2F&redirect=%2Fsaju%2Flove-simulation%2F,321,321 B http://localhost:3100/login/?returnTo=%2Fsaju%2Flove-simulation%2F&next=%2Fsaju%2Flove-simulation%2F&redirect=%2Fsaju%2Flove-simulation%2F | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/login/?returnTo=%2Fsaju%2Flove-simulation%2F&next=%2Fsaju%2Flove-simulation%2F&redirect=%2Fsaju%2Flove-simulation%2F | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:32:41.934Z
/tarot/prompt-maker,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/tarot/prompt-maker/,321,321 B http://localhost:3100/tarot/prompt-maker/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/tarot/prompt-maker/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:32:52.576Z
/tarot/prompt-maker,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/tarot/prompt-maker/,321,321 B http://localhost:3100/tarot/prompt-maker/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/tarot/prompt-maker/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:33:12.472Z
/tarot/mindscan,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/login/?returnTo=%2Ftarot%2Fmindscan%2F&next=%2Ftarot%2Fmindscan%2F&redirect=%2Ftarot%2Fmindscan%2F,321,321 B http://localhost:3100/login/?returnTo=%2Ftarot%2Fmindscan%2F&next=%2Ftarot%2Fmindscan%2F&redirect=%2Ftarot%2Fmindscan%2F | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/login/?returnTo=%2Ftarot%2Fmindscan%2F&next=%2Ftarot%2Fmindscan%2F&redirect=%2Ftarot%2Fmindscan%2F | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:33:19.940Z
/tarot/mindscan,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/login/?returnTo=%2Ftarot%2Fmindscan%2F&next=%2Ftarot%2Fmindscan%2F&redirect=%2Ftarot%2Fmindscan%2F,321,321 B http://localhost:3100/login/?returnTo=%2Ftarot%2Fmindscan%2F&next=%2Ftarot%2Fmindscan%2F&redirect=%2Ftarot%2Fmindscan%2F | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/login/?returnTo=%2Ftarot%2Fmindscan%2F&next=%2Ftarot%2Fmindscan%2F&redirect=%2Ftarot%2Fmindscan%2F | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:33:25.458Z
/palm-reading,desktop,cold,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/palm-reading/,321,321 B http://localhost:3100/palm-reading/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/palm-reading/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:33:38.145Z
/palm-reading,desktop,repeat,500,2,621,621 B,321,0,0,0,0,0,0,http://localhost:3100/palm-reading/,321,321 B http://localhost:3100/palm-reading/ | 300 B http://localhost:3100/favicon.ico,,,,,500 http://localhost:3100/palm-reading/ | 500 http://localhost:3100/favicon.ico,0,0,0,0,none,normal,2026-06-30T13:33:46.458Z
