pageUrl,viewport,run,requestUrl,path,resourceType,mimeType,status,transferredSizeBytes,transferredSize,encodedBodySizeBytes,cache,initiator,extension,fileName,componentTraceNeeded
/neo-operation-room,desktop,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074212,1.98 MB,2074212,no,script 7620-a82822ebe1be243c.js:1,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074207,1.98 MB,2074207,no,other,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074194,1.98 MB,2074194,no,script 7620-a82822ebe1be243c.js:1,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,/DestinyWar/%EB%84%A4%EC%98%A4%20%EB%B0%98%EC%8B%A0%EC%83%81%20%EB%B0%B0%EA%B2%BD%EC%97%86%EC%9D%8C-Photoroom.png,image,image/png,200,2074170,1.98 MB,2074170,no,script 7620-a82822ebe1be243c.js:1,.png,네오 반신상 배경없음-Photoroom.png,yes
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20%EB%8F%84%EC%9E%A5-Photoroom.png,/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20%EB%8F%84%EC%9E%A5-Photoroom.png,image,image/png,200,1911032,1.82 MB,1911032,no,other,.png,사자 휘장 도장-Photoroom.png,yes
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20%EB%8F%84%EC%9E%A5-Photoroom.png,/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20%EB%8F%84%EC%9E%A5-Photoroom.png,image,image/png,200,1910994,1.82 MB,1910994,no,script 7620-a82822ebe1be243c.js:1,.png,사자 휘장 도장-Photoroom.png,yes
/neo-operation-room/result,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20%EB%8F%84%EC%9E%A5-Photoroom.png,/DestinyWar/%EC%82%AC%EC%9E%90%20%ED%9C%98%EC%9E%A5%20%EB%8F%84%EC%9E%A5-Photoroom.png,image,image/png,200,1910992,1.82 MB,1910992,no,parser code-destiny.com,.png,사자 휘장 도장-Photoroom.png,yes
/fortune-tea-house,desktop,repeat,https://assets.code-destiny.com/DestinyCafe/nobackground/%EB%A7%90%ED%95%98%EB%8A%94%20%EA%BD%83%EB%8F%BC%EC%A7%80%20%EC%97%B0%EC%9D%B41-Photoroom.png,/DestinyCafe/nobackground/%EB%A7%90%ED%95%98%EB%8A%94%20%EA%BD%83%EB%8F%BC%EC%A7%80%20%EC%97%B0%EC%9D%B41-Photoroom.png,image,image/png,200,1593477,1.52 MB,1593477,no,script 4bd1b696-100b9d70ed4e49c1.js:1,.png,말하는 꽃돼지 연이1-Photoroom.png,yes
/neo-operation-room/result,mobile,cold,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B2-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B2-Photoroom.png,image,image/png,200,1576439,1.50 MB,1576439,no,parser code-destiny.com,.png,작전실 에셋2-Photoroom.png,yes
/neo-operation-room/result,mobile,repeat,https://assets.code-destiny.com/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B2-Photoroom.png,/DestinyWar/%EC%9E%91%EC%A0%84%EC%8B%A4%20%EC%97%90%EC%85%8B2-Photoroom.png,image,image/png,200,1576421,1.50 MB,1576421,no,script 7620-a82822ebe1be243c.js:1,.png,작전실 에셋2-Photoroom.png,yes
